dataset,method,layer_id,num_tokens,total_retrieved,num_spans,mean_span_len,max_span_len,spread_ratio
kv_retrieval,dcu_l2_only,0,8576,8132,423,19.22,192,0.9999
kv_retrieval,dcu_l2_only,1,8576,4581,2026,2.26,12,0.9998
kv_retrieval,dcu_l2_only,2,8576,4058,2052,1.98,11,0.9993
kv_retrieval,dcu_l2_only,3,8576,3972,1926,2.06,14,0.9994
kv_retrieval,dcu_l2_only,4,8576,4007,1644,2.44,27,0.9993
kv_retrieval,dcu_l2_only,5,8576,3819,1854,2.06,16,0.9997
kv_retrieval,dcu_l2_only,6,8576,3505,1645,2.13,13,0.9999
kv_retrieval,dcu_l2_only,7,8576,3984,1840,2.17,17,0.9999
kv_retrieval,dcu_l2_only,8,8576,3642,1827,1.99,15,0.9999
kv_retrieval,dcu_l2_only,9,8576,3782,1814,2.08,14,0.9998
kv_retrieval,dcu_l2_only,10,8576,3190,1652,1.93,15,0.9999
kv_retrieval,dcu_l2_only,11,8576,2432,1289,1.89,14,0.9992
kv_retrieval,dcu_l2_only,12,8576,3230,1530,2.11,16,0.9999
kv_retrieval,dcu_l2_only,13,8576,3553,1814,1.96,20,0.9999
kv_retrieval,dcu_l2_only,14,8576,4156,1783,2.33,22,0.9998
kv_retrieval,dcu_l2_only,15,8576,3748,1623,2.31,15,0.9993
kv_retrieval,dcu_l2_only,16,8576,3804,1231,3.09,46,0.9999
kv_retrieval,dcu_l2_only,17,8576,3680,1530,2.41,22,0.9993
kv_retrieval,dcu_l2_only,18,8576,4478,1291,3.47,31,0.9999
kv_retrieval,dcu_l2_only,19,8576,7131,806,8.85,95,0.9998
kv_retrieval,dcu_l2_only,20,8576,3703,1459,2.54,32,0.9997
kv_retrieval,dcu_l2_only,21,8576,3896,1441,2.70,24,0.9997
kv_retrieval,dcu_l2_only,22,8576,3996,1568,2.55,16,0.9999
kv_retrieval,dcu_l2_only,23,8576,3720,1376,2.70,17,0.9999
kv_retrieval,dcu_l2_only,24,8576,3414,1545,2.21,24,0.9998
kv_retrieval,dcu_l2_only,25,8576,4252,1893,2.25,30,0.9998
kv_retrieval,dcu_l2_only,26,8576,4213,1977,2.13,18,0.9998
kv_retrieval,dcu_l2_only,27,8576,6148,1297,4.74,1674,0.9998
kv_retrieval,dcu_l2_only,0,50048,8147,7017,1.16,9,0.9999
kv_retrieval,dcu_l2_only,1,50048,6534,5465,1.20,6,0.9999
kv_retrieval,dcu_l2_only,2,50048,5444,4736,1.15,6,0.9999
kv_retrieval,dcu_l2_only,3,50048,5689,4743,1.20,6,0.9999
kv_retrieval,dcu_l2_only,4,50048,5740,4474,1.28,12,0.9999
kv_retrieval,dcu_l2_only,5,50048,5303,4544,1.17,6,0.9999
kv_retrieval,dcu_l2_only,6,50048,5458,4411,1.24,7,0.9999
kv_retrieval,dcu_l2_only,7,50048,5842,4656,1.25,10,0.9999
kv_retrieval,dcu_l2_only,8,50048,5338,4333,1.23,9,0.9994
kv_retrieval,dcu_l2_only,9,50048,5440,4660,1.17,12,0.9999
kv_retrieval,dcu_l2_only,10,50048,5020,4079,1.23,10,0.9996
kv_retrieval,dcu_l2_only,11,50048,3721,2581,1.44,5,0.9998
kv_retrieval,dcu_l2_only,12,50048,4888,3620,1.35,12,0.9998
kv_retrieval,dcu_l2_only,13,50048,4998,4192,1.19,6,0.9995
kv_retrieval,dcu_l2_only,14,50048,5531,4347,1.27,9,0.9998
kv_retrieval,dcu_l2_only,15,50048,5285,4211,1.26,10,0.9998
kv_retrieval,dcu_l2_only,16,50048,5041,3202,1.57,31,0.9993
kv_retrieval,dcu_l2_only,17,50048,5349,3705,1.44,12,0.9997
kv_retrieval,dcu_l2_only,18,50048,5973,4099,1.46,15,0.9999
kv_retrieval,dcu_l2_only,19,50048,7659,4807,1.59,14,0.9993
kv_retrieval,dcu_l2_only,20,50048,4975,3522,1.41,12,0.9997
kv_retrieval,dcu_l2_only,21,50048,5379,3755,1.43,17,0.9992
kv_retrieval,dcu_l2_only,22,50048,5581,4115,1.36,7,0.9993
kv_retrieval,dcu_l2_only,23,50048,5487,4113,1.33,7,0.9997
kv_retrieval,dcu_l2_only,24,50048,5041,3832,1.32,14,0.9994
kv_retrieval,dcu_l2_only,25,50048,6185,4746,1.30,8,0.9999
kv_retrieval,dcu_l2_only,26,50048,6603,5280,1.25,5,0.9999
kv_retrieval,dcu_l2_only,27,50048,7255,3899,1.86,1344,0.9996
kv_retrieval,dcu_l2_only,0,100224,8149,7525,1.08,6,1.0000
kv_retrieval,dcu_l2_only,1,100224,6846,6125,1.12,6,0.9997
kv_retrieval,dcu_l2_only,2,100224,5519,5071,1.09,5,0.9997
kv_retrieval,dcu_l2_only,3,100224,6034,5491,1.10,5,0.9999
kv_retrieval,dcu_l2_only,4,100224,5979,5102,1.17,8,0.9991
kv_retrieval,dcu_l2_only,5,100224,5765,5208,1.11,4,0.9998
kv_retrieval,dcu_l2_only,6,100224,5786,4953,1.17,7,0.9998
kv_retrieval,dcu_l2_only,7,100224,6077,5240,1.16,7,0.9999
kv_retrieval,dcu_l2_only,8,100224,5714,5053,1.13,6,0.9997
kv_retrieval,dcu_l2_only,9,100224,5779,5239,1.10,5,0.9998
kv_retrieval,dcu_l2_only,10,100224,5414,4741,1.14,8,0.9999
kv_retrieval,dcu_l2_only,11,100224,4201,3250,1.29,5,0.9997
kv_retrieval,dcu_l2_only,12,100224,5255,4314,1.22,8,0.9997
kv_retrieval,dcu_l2_only,13,100224,5457,4866,1.12,5,0.9998
kv_retrieval,dcu_l2_only,14,100224,5881,5042,1.17,8,0.9998
kv_retrieval,dcu_l2_only,15,100224,5592,4781,1.17,8,0.9998
kv_retrieval,dcu_l2_only,16,100224,5192,3709,1.40,31,0.9997
kv_retrieval,dcu_l2_only,17,100224,5756,4433,1.30,11,0.9998
kv_retrieval,dcu_l2_only,18,100224,6241,4879,1.28,12,0.9999
kv_retrieval,dcu_l2_only,19,100224,7799,5622,1.39,12,0.9995
kv_retrieval,dcu_l2_only,20,100224,5205,4112,1.27,12,0.9996
kv_retrieval,dcu_l2_only,21,100224,5727,4415,1.30,17,0.9998
kv_retrieval,dcu_l2_only,22,100224,5867,4763,1.23,7,0.9994
kv_retrieval,dcu_l2_only,23,100224,5828,4818,1.21,7,0.9999
kv_retrieval,dcu_l2_only,24,100224,5360,4425,1.21,14,0.9996
kv_retrieval,dcu_l2_only,25,100224,6456,5461,1.18,7,0.9997
kv_retrieval,dcu_l2_only,26,100224,6922,6103,1.13,5,0.9998
kv_retrieval,dcu_l2_only,27,100224,7557,5002,1.51,691,0.9997
kv_retrieval,dcu_l2_only,0,150400,8152,7618,1.07,8,0.9994
kv_retrieval,dcu_l2_only,1,150400,6863,6324,1.09,6,0.9999
kv_retrieval,dcu_l2_only,2,150400,5795,5391,1.07,4,0.9999
kv_retrieval,dcu_l2_only,3,150400,6220,5864,1.06,4,0.9998
kv_retrieval,dcu_l2_only,4,150400,6112,5382,1.14,8,0.9998
kv_retrieval,dcu_l2_only,5,150400,5969,5530,1.08,4,0.9998
kv_retrieval,dcu_l2_only,6,150400,6025,5397,1.12,5,0.9991
kv_retrieval,dcu_l2_only,7,150400,6197,5491,1.13,6,0.9999
kv_retrieval,dcu_l2_only,8,150400,5843,5362,1.09,6,0.9998
kv_retrieval,dcu_l2_only,9,150400,6018,5518,1.09,5,0.9994
kv_retrieval,dcu_l2_only,10,150400,5515,4998,1.10,8,0.9998
kv_retrieval,dcu_l2_only,11,150400,4321,3512,1.23,11,0.9996
kv_retrieval,dcu_l2_only,12,150400,5372,4539,1.18,8,0.9996
kv_retrieval,dcu_l2_only,13,150400,5589,5066,1.10,15,0.9994
kv_retrieval,dcu_l2_only,14,150400,5989,5285,1.13,12,0.9994
kv_retrieval,dcu_l2_only,15,150400,5782,5115,1.13,8,0.9996
kv_retrieval,dcu_l2_only,16,150400,5167,3849,1.34,36,0.9997
kv_retrieval,dcu_l2_only,17,150400,5866,4737,1.24,11,0.9996
kv_retrieval,dcu_l2_only,18,150400,6346,5214,1.22,11,0.9997
kv_retrieval,dcu_l2_only,19,150400,7822,5895,1.33,11,0.9993
kv_retrieval,dcu_l2_only,20,150400,5324,4396,1.21,10,0.9999
kv_retrieval,dcu_l2_only,21,150400,5858,4708,1.24,17,0.9998
kv_retrieval,dcu_l2_only,22,150400,6043,5144,1.17,6,0.9996
kv_retrieval,dcu_l2_only,23,150400,5984,5143,1.16,7,0.9999
kv_retrieval,dcu_l2_only,24,150400,5426,4604,1.18,14,0.9999
kv_retrieval,dcu_l2_only,25,150400,6558,5718,1.15,7,0.9998
kv_retrieval,dcu_l2_only,26,150400,7096,6485,1.09,5,0.9999
kv_retrieval,dcu_l2_only,27,150400,7540,5679,1.33,13,0.9996
kv_retrieval,dcu_l2_only,0,8576,8129,423,19.22,217,0.9999
kv_retrieval,dcu_l2_only,1,8576,4609,1999,2.31,15,0.9999
kv_retrieval,dcu_l2_only,2,8576,4094,2002,2.04,16,0.9990
kv_retrieval,dcu_l2_only,3,8576,3986,1955,2.04,10,0.9999
kv_retrieval,dcu_l2_only,4,8576,4045,1685,2.40,22,0.9999
kv_retrieval,dcu_l2_only,5,8576,3843,1893,2.03,12,0.9994
kv_retrieval,dcu_l2_only,6,8576,3506,1685,2.08,17,0.9991
kv_retrieval,dcu_l2_only,7,8576,3955,1850,2.14,18,0.9999
kv_retrieval,dcu_l2_only,8,8576,3625,1811,2.00,14,0.9999
kv_retrieval,dcu_l2_only,9,8576,3819,1820,2.10,13,0.9998
kv_retrieval,dcu_l2_only,10,8576,3206,1655,1.94,16,0.9997
kv_retrieval,dcu_l2_only,11,8576,2416,1301,1.86,15,0.9997
kv_retrieval,dcu_l2_only,12,8576,3207,1525,2.10,18,0.9998
kv_retrieval,dcu_l2_only,13,8576,3570,1748,2.04,16,0.9998
kv_retrieval,dcu_l2_only,14,8576,4177,1804,2.32,24,0.9997
kv_retrieval,dcu_l2_only,15,8576,3690,1621,2.28,27,0.9993
kv_retrieval,dcu_l2_only,16,8576,3744,1341,2.79,37,0.9992
kv_retrieval,dcu_l2_only,17,8576,3698,1524,2.43,24,0.9999
kv_retrieval,dcu_l2_only,18,8576,4466,1281,3.49,24,0.9997
kv_retrieval,dcu_l2_only,19,8576,7183,759,9.46,103,0.9999
kv_retrieval,dcu_l2_only,20,8576,3713,1433,2.59,30,0.9992
kv_retrieval,dcu_l2_only,21,8576,3941,1397,2.82,37,0.9999
kv_retrieval,dcu_l2_only,22,8576,4024,1552,2.59,17,0.9999
kv_retrieval,dcu_l2_only,23,8576,3708,1446,2.56,18,0.9998
kv_retrieval,dcu_l2_only,24,8576,3404,1491,2.28,37,0.9999
kv_retrieval,dcu_l2_only,25,8576,4150,1912,2.17,26,0.9999
kv_retrieval,dcu_l2_only,26,8576,4165,1917,2.17,23,0.9999
kv_retrieval,dcu_l2_only,27,8576,6208,1282,4.84,1534,0.9997
kv_retrieval,dcu_l2_only,0,50048,8151,6983,1.17,7,1.0000
kv_retrieval,dcu_l2_only,1,50048,6573,5507,1.19,6,0.9999
kv_retrieval,dcu_l2_only,2,50048,5469,4757,1.15,5,0.9999
kv_retrieval,dcu_l2_only,3,50048,5674,4763,1.19,5,0.9998
kv_retrieval,dcu_l2_only,4,50048,5737,4511,1.27,9,0.9998
kv_retrieval,dcu_l2_only,5,50048,5320,4567,1.16,5,0.9997
kv_retrieval,dcu_l2_only,6,50048,5480,4411,1.24,9,0.9997
kv_retrieval,dcu_l2_only,7,50048,5792,4591,1.26,9,0.9999
kv_retrieval,dcu_l2_only,8,50048,5378,4408,1.22,9,0.9998
kv_retrieval,dcu_l2_only,9,50048,5472,4638,1.18,8,0.9997
kv_retrieval,dcu_l2_only,10,50048,4944,4044,1.22,10,0.9993
kv_retrieval,dcu_l2_only,11,50048,3759,2646,1.42,9,0.9996
kv_retrieval,dcu_l2_only,12,50048,4929,3568,1.38,11,0.9999
kv_retrieval,dcu_l2_only,13,50048,4993,4187,1.19,15,0.9999
kv_retrieval,dcu_l2_only,14,50048,5496,4372,1.26,29,1.0000
kv_retrieval,dcu_l2_only,15,50048,5231,4182,1.25,9,0.9998
kv_retrieval,dcu_l2_only,16,50048,5027,3233,1.55,62,0.9999
kv_retrieval,dcu_l2_only,17,50048,5462,3839,1.42,13,0.9998
kv_retrieval,dcu_l2_only,18,50048,6123,4146,1.48,24,0.9996
kv_retrieval,dcu_l2_only,19,50048,7697,4800,1.60,12,0.9998
kv_retrieval,dcu_l2_only,20,50048,4944,3548,1.39,12,0.9999
kv_retrieval,dcu_l2_only,21,50048,5352,3650,1.47,29,0.9996
kv_retrieval,dcu_l2_only,22,50048,5610,4119,1.36,9,0.9998
kv_retrieval,dcu_l2_only,23,50048,5467,4070,1.34,8,0.9997
kv_retrieval,dcu_l2_only,24,50048,5034,3814,1.32,28,0.9998
kv_retrieval,dcu_l2_only,25,50048,6171,4792,1.29,9,0.9999
kv_retrieval,dcu_l2_only,26,50048,6573,5205,1.26,6,0.9995
kv_retrieval,dcu_l2_only,27,50048,7330,3998,1.83,194,0.9996
kv_retrieval,dcu_l2_only,0,100224,8150,7509,1.09,5,0.9997
kv_retrieval,dcu_l2_only,1,100224,6874,6127,1.12,4,0.9998
kv_retrieval,dcu_l2_only,2,100224,5534,5069,1.09,6,0.9998
kv_retrieval,dcu_l2_only,3,100224,6106,5609,1.09,5,0.9999
kv_retrieval,dcu_l2_only,4,100224,5917,5073,1.17,6,0.9999
kv_retrieval,dcu_l2_only,5,100224,5718,5182,1.10,5,0.9998
kv_retrieval,dcu_l2_only,6,100224,5807,4992,1.16,6,0.9998
kv_retrieval,dcu_l2_only,7,100224,5994,5134,1.17,6,0.9999
kv_retrieval,dcu_l2_only,8,100224,5701,5082,1.12,8,1.0000
kv_retrieval,dcu_l2_only,9,100224,5754,5221,1.10,8,0.9998
kv_retrieval,dcu_l2_only,10,100224,5340,4661,1.15,8,0.9996
kv_retrieval,dcu_l2_only,11,100224,4177,3293,1.27,9,0.9998
kv_retrieval,dcu_l2_only,12,100224,5268,4254,1.24,11,0.9998
kv_retrieval,dcu_l2_only,13,100224,5430,4826,1.13,14,0.9997
kv_retrieval,dcu_l2_only,14,100224,5869,5084,1.15,24,0.9999
kv_retrieval,dcu_l2_only,15,100224,5568,4793,1.16,8,0.9999
kv_retrieval,dcu_l2_only,16,100224,5108,3693,1.38,27,0.9999
kv_retrieval,dcu_l2_only,17,100224,5707,4402,1.30,12,0.9999
kv_retrieval,dcu_l2_only,18,100224,6368,4961,1.28,21,0.9996
kv_retrieval,dcu_l2_only,19,100224,7786,5740,1.36,11,1.0000
kv_retrieval,dcu_l2_only,20,100224,5185,4125,1.26,10,1.0000
kv_retrieval,dcu_l2_only,21,100224,5702,4377,1.30,21,0.9995
kv_retrieval,dcu_l2_only,22,100224,5914,4789,1.23,7,0.9998
kv_retrieval,dcu_l2_only,23,100224,5965,4868,1.23,7,0.9996
kv_retrieval,dcu_l2_only,24,100224,5279,4321,1.22,21,0.9998
kv_retrieval,dcu_l2_only,25,100224,6472,5460,1.19,9,0.9997
kv_retrieval,dcu_l2_only,26,100224,6975,6146,1.13,6,0.9995
kv_retrieval,dcu_l2_only,27,100224,7332,5237,1.40,13,0.9998
kv_retrieval,dcu_l2_only,0,150400,8150,7586,1.07,5,0.9995
kv_retrieval,dcu_l2_only,1,150400,6884,6359,1.08,4,0.9996
kv_retrieval,dcu_l2_only,2,150400,5794,5338,1.09,4,0.9997
kv_retrieval,dcu_l2_only,3,150400,6332,5950,1.06,4,0.9998
kv_retrieval,dcu_l2_only,4,150400,6199,5486,1.13,7,0.9998
kv_retrieval,dcu_l2_only,5,150400,5944,5497,1.08,5,0.9999
kv_retrieval,dcu_l2_only,6,150400,5966,5364,1.11,5,0.9998
kv_retrieval,dcu_l2_only,7,150400,6224,5485,1.13,8,0.9996
kv_retrieval,dcu_l2_only,8,150400,5861,5427,1.08,7,1.0000
kv_retrieval,dcu_l2_only,9,150400,6030,5553,1.09,6,0.9999
kv_retrieval,dcu_l2_only,10,150400,5538,4988,1.11,8,1.0000
kv_retrieval,dcu_l2_only,11,150400,4416,3616,1.22,9,0.9998
kv_retrieval,dcu_l2_only,12,150400,5464,4609,1.19,11,0.9998
kv_retrieval,dcu_l2_only,13,150400,5599,5097,1.10,14,0.9996
kv_retrieval,dcu_l2_only,14,150400,5998,5314,1.13,15,0.9997
kv_retrieval,dcu_l2_only,15,150400,5766,5120,1.13,6,0.9995
kv_retrieval,dcu_l2_only,16,150400,5287,4058,1.30,26,0.9999
kv_retrieval,dcu_l2_only,17,150400,6021,4903,1.23,12,0.9996
kv_retrieval,dcu_l2_only,18,150400,6480,5304,1.22,21,0.9998
kv_retrieval,dcu_l2_only,19,150400,7825,6078,1.29,8,0.9995
kv_retrieval,dcu_l2_only,20,150400,5358,4441,1.21,9,0.9995
kv_retrieval,dcu_l2_only,21,150400,5907,4741,1.25,20,0.9999
kv_retrieval,dcu_l2_only,22,150400,6019,5140,1.17,7,0.9995
kv_retrieval,dcu_l2_only,23,150400,6111,5220,1.17,5,0.9997
kv_retrieval,dcu_l2_only,24,150400,5467,4627,1.18,12,1.0000
kv_retrieval,dcu_l2_only,25,150400,6604,5754,1.15,7,0.9996
kv_retrieval,dcu_l2_only,26,150400,7100,6507,1.09,6,1.0000
kv_retrieval,dcu_l2_only,27,150400,7544,5133,1.47,339,0.9999
kv_retrieval,dcu_l2_only,0,8576,8131,422,19.27,126,0.9999
kv_retrieval,dcu_l2_only,1,8576,4569,2031,2.25,16,0.9997
kv_retrieval,dcu_l2_only,2,8576,4108,2004,2.05,12,0.9993
kv_retrieval,dcu_l2_only,3,8576,3963,1914,2.07,12,0.9999
kv_retrieval,dcu_l2_only,4,8576,4024,1637,2.46,19,0.9993
kv_retrieval,dcu_l2_only,5,8576,3790,1812,2.09,13,0.9994
kv_retrieval,dcu_l2_only,6,8576,3530,1667,2.12,16,0.9994
kv_retrieval,dcu_l2_only,7,8576,3946,1850,2.13,19,0.9998
kv_retrieval,dcu_l2_only,8,8576,3617,1799,2.01,24,0.9999
kv_retrieval,dcu_l2_only,9,8576,3773,1771,2.13,19,0.9993
kv_retrieval,dcu_l2_only,10,8576,3226,1672,1.93,14,0.9990
kv_retrieval,dcu_l2_only,11,8576,2384,1283,1.86,15,0.9997
kv_retrieval,dcu_l2_only,12,8576,3210,1525,2.10,23,0.9980
kv_retrieval,dcu_l2_only,13,8576,3561,1777,2.00,39,0.9998
kv_retrieval,dcu_l2_only,14,8576,4082,1798,2.27,54,0.9998
kv_retrieval,dcu_l2_only,15,8576,3766,1648,2.29,24,0.9998
kv_retrieval,dcu_l2_only,16,8576,3784,1289,2.94,76,0.9997
kv_retrieval,dcu_l2_only,17,8576,3645,1492,2.44,47,0.9995
kv_retrieval,dcu_l2_only,18,8576,4440,1308,3.39,27,0.9999
kv_retrieval,dcu_l2_only,19,8576,7125,795,8.96,63,0.9997
kv_retrieval,dcu_l2_only,20,8576,3711,1440,2.58,26,0.9998
kv_retrieval,dcu_l2_only,21,8576,3928,1414,2.78,57,0.9999
kv_retrieval,dcu_l2_only,22,8576,3930,1501,2.62,31,0.9998
kv_retrieval,dcu_l2_only,23,8576,3701,1401,2.64,27,0.9998
kv_retrieval,dcu_l2_only,24,8576,3421,1473,2.32,27,0.9998
kv_retrieval,dcu_l2_only,25,8576,4223,1901,2.22,26,0.9997
kv_retrieval,dcu_l2_only,26,8576,4178,1912,2.19,14,0.9999
kv_retrieval,dcu_l2_only,27,8576,6191,1305,4.74,1538,0.9999
kv_retrieval,dcu_l2_only,0,50048,8116,7022,1.16,5,1.0000
kv_retrieval,dcu_l2_only,1,50048,6503,5458,1.19,8,0.9996
kv_retrieval,dcu_l2_only,2,50048,5441,4721,1.15,6,0.9996
kv_retrieval,dcu_l2_only,3,50048,5638,4695,1.20,5,0.9986
kv_retrieval,dcu_l2_only,4,50048,5737,4433,1.29,8,0.9991
kv_retrieval,dcu_l2_only,5,50048,5339,4559,1.17,6,0.9999
kv_retrieval,dcu_l2_only,6,50048,5483,4404,1.25,7,0.9994
kv_retrieval,dcu_l2_only,7,50048,5832,4678,1.25,9,0.9999
kv_retrieval,dcu_l2_only,8,50048,5316,4349,1.22,9,0.9996
kv_retrieval,dcu_l2_only,9,50048,5446,4606,1.18,7,0.9995
kv_retrieval,dcu_l2_only,10,50048,4996,4091,1.22,9,0.9996
kv_retrieval,dcu_l2_only,11,50048,3720,2589,1.44,6,0.9998
kv_retrieval,dcu_l2_only,12,50048,4858,3531,1.38,9,0.9997
kv_retrieval,dcu_l2_only,13,50048,4875,4116,1.18,35,0.9997
kv_retrieval,dcu_l2_only,14,50048,5511,4422,1.25,27,0.9995
kv_retrieval,dcu_l2_only,15,50048,5301,4236,1.25,7,0.9995
kv_retrieval,dcu_l2_only,16,50048,4962,3157,1.57,41,0.9993
kv_retrieval,dcu_l2_only,17,50048,5472,3842,1.42,20,0.9992
kv_retrieval,dcu_l2_only,18,50048,6033,4099,1.47,11,1.0000
kv_retrieval,dcu_l2_only,19,50048,7678,4842,1.59,13,0.9991
kv_retrieval,dcu_l2_only,20,50048,4967,3635,1.37,12,0.9998
kv_retrieval,dcu_l2_only,21,50048,5248,3606,1.46,19,0.9999
kv_retrieval,dcu_l2_only,22,50048,5525,4043,1.37,11,0.9999
kv_retrieval,dcu_l2_only,23,50048,5397,4005,1.35,7,1.0000
kv_retrieval,dcu_l2_only,24,50048,5068,3871,1.31,18,1.0000
kv_retrieval,dcu_l2_only,25,50048,6132,4639,1.32,11,0.9998
kv_retrieval,dcu_l2_only,26,50048,6544,5229,1.25,8,0.9998
kv_retrieval,dcu_l2_only,27,50048,7305,3965,1.84,329,1.0000
kv_retrieval,dcu_l2_only,0,100224,8154,7564,1.08,5,0.9996
kv_retrieval,dcu_l2_only,1,100224,6857,6128,1.12,7,0.9996
kv_retrieval,dcu_l2_only,2,100224,5530,5082,1.09,4,0.9999
kv_retrieval,dcu_l2_only,3,100224,6042,5472,1.10,5,0.9999
kv_retrieval,dcu_l2_only,4,100224,5975,5132,1.16,5,0.9999
kv_retrieval,dcu_l2_only,5,100224,5742,5177,1.11,4,0.9999
kv_retrieval,dcu_l2_only,6,100224,5750,4968,1.16,6,0.9999
kv_retrieval,dcu_l2_only,7,100224,6006,5171,1.16,7,0.9998
kv_retrieval,dcu_l2_only,8,100224,5690,5033,1.13,9,0.9999
kv_retrieval,dcu_l2_only,9,100224,5827,5257,1.11,6,0.9999
kv_retrieval,dcu_l2_only,10,100224,5372,4732,1.14,6,0.9999
kv_retrieval,dcu_l2_only,11,100224,4132,3272,1.26,5,0.9999
kv_retrieval,dcu_l2_only,12,100224,5238,4253,1.23,9,0.9999
kv_retrieval,dcu_l2_only,13,100224,5292,4728,1.12,21,0.9993
kv_retrieval,dcu_l2_only,14,100224,5851,5089,1.15,13,0.9998
kv_retrieval,dcu_l2_only,15,100224,5582,4792,1.16,7,0.9999
kv_retrieval,dcu_l2_only,16,100224,5182,3772,1.37,22,0.9998
kv_retrieval,dcu_l2_only,17,100224,5746,4411,1.30,10,0.9997
kv_retrieval,dcu_l2_only,18,100224,6328,4904,1.29,10,0.9995
kv_retrieval,dcu_l2_only,19,100224,7758,5557,1.40,9,0.9999
kv_retrieval,dcu_l2_only,20,100224,5263,4194,1.25,11,0.9996
kv_retrieval,dcu_l2_only,21,100224,5655,4341,1.30,16,0.9985
kv_retrieval,dcu_l2_only,22,100224,5902,4809,1.23,11,0.9997
kv_retrieval,dcu_l2_only,23,100224,5822,4813,1.21,6,0.9990
kv_retrieval,dcu_l2_only,24,100224,5352,4449,1.20,16,0.9997
kv_retrieval,dcu_l2_only,25,100224,6404,5396,1.19,7,1.0000
kv_retrieval,dcu_l2_only,26,100224,6928,6119,1.13,5,1.0000
kv_retrieval,dcu_l2_only,27,100224,7378,5289,1.39,13,1.0000
kv_retrieval,dcu_l2_only,0,150400,8152,7643,1.07,5,0.9995
kv_retrieval,dcu_l2_only,1,150400,6877,6336,1.09,6,0.9998
kv_retrieval,dcu_l2_only,2,150400,5762,5360,1.08,4,0.9999
kv_retrieval,dcu_l2_only,3,150400,6304,5925,1.06,4,1.0000
kv_retrieval,dcu_l2_only,4,150400,6003,5316,1.13,5,0.9999
kv_retrieval,dcu_l2_only,5,150400,5920,5505,1.08,5,0.9996
kv_retrieval,dcu_l2_only,6,150400,5973,5332,1.12,4,0.9996
kv_retrieval,dcu_l2_only,7,150400,6151,5476,1.12,7,0.9999
kv_retrieval,dcu_l2_only,8,150400,5797,5356,1.08,9,0.9999
kv_retrieval,dcu_l2_only,9,150400,6010,5533,1.09,6,0.9998
kv_retrieval,dcu_l2_only,10,150400,5482,4961,1.11,6,0.9996
kv_retrieval,dcu_l2_only,11,150400,4250,3468,1.23,4,0.9998
kv_retrieval,dcu_l2_only,12,150400,5419,4599,1.18,9,0.9993
kv_retrieval,dcu_l2_only,13,150400,5516,5057,1.09,21,0.9998
kv_retrieval,dcu_l2_only,14,150400,6001,5333,1.13,13,0.9998
kv_retrieval,dcu_l2_only,15,150400,5758,5089,1.13,6,0.9995
kv_retrieval,dcu_l2_only,16,150400,5341,4031,1.32,21,0.9990
kv_retrieval,dcu_l2_only,17,150400,5950,4801,1.24,10,0.9998
kv_retrieval,dcu_l2_only,18,150400,6444,5298,1.22,10,0.9995
kv_retrieval,dcu_l2_only,19,150400,7805,5957,1.31,9,0.9998
kv_retrieval,dcu_l2_only,20,150400,5431,4504,1.21,11,0.9992
kv_retrieval,dcu_l2_only,21,150400,5860,4715,1.24,15,0.9991
kv_retrieval,dcu_l2_only,22,150400,6077,5168,1.18,11,0.9996
kv_retrieval,dcu_l2_only,23,150400,6068,5219,1.16,6,0.9998
kv_retrieval,dcu_l2_only,24,150400,5512,4767,1.16,16,0.9997
kv_retrieval,dcu_l2_only,25,150400,6500,5699,1.14,7,0.9996
kv_retrieval,dcu_l2_only,26,150400,7092,6507,1.09,4,0.9998
kv_retrieval,dcu_l2_only,27,150400,7586,5783,1.31,13,0.9998
kv_retrieval,dcu_l2_only,0,8576,8132,414,19.64,161,0.9999
kv_retrieval,dcu_l2_only,1,8576,4595,2063,2.23,18,0.9999
kv_retrieval,dcu_l2_only,2,8576,4108,2068,1.99,10,0.9999
kv_retrieval,dcu_l2_only,3,8576,3989,1953,2.04,12,0.9999
kv_retrieval,dcu_l2_only,4,8576,3950,1645,2.40,16,0.9999
kv_retrieval,dcu_l2_only,5,8576,3826,1847,2.07,13,0.9999
kv_retrieval,dcu_l2_only,6,8576,3500,1625,2.15,14,0.9993
kv_retrieval,dcu_l2_only,7,8576,3967,1848,2.15,46,0.9999
kv_retrieval,dcu_l2_only,8,8576,3586,1786,2.01,17,0.9998
kv_retrieval,dcu_l2_only,9,8576,3792,1785,2.12,16,0.9998
kv_retrieval,dcu_l2_only,10,8576,3258,1640,1.99,13,0.9999
kv_retrieval,dcu_l2_only,11,8576,2423,1322,1.83,12,0.9999
kv_retrieval,dcu_l2_only,12,8576,3202,1539,2.08,16,0.9999
kv_retrieval,dcu_l2_only,13,8576,3539,1736,2.04,18,0.9999
kv_retrieval,dcu_l2_only,14,8576,4203,1810,2.32,20,0.9998
kv_retrieval,dcu_l2_only,15,8576,3763,1651,2.28,19,0.9997
kv_retrieval,dcu_l2_only,16,8576,3800,1270,2.99,48,0.9995
kv_retrieval,dcu_l2_only,17,8576,3623,1481,2.45,18,0.9997
kv_retrieval,dcu_l2_only,18,8576,4483,1285,3.49,33,0.9999
kv_retrieval,dcu_l2_only,19,8576,7100,799,8.89,67,0.9998
kv_retrieval,dcu_l2_only,20,8576,3791,1457,2.60,33,0.9997
